PG,SG,SF,PF,C,G,F,UTIL,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Geomean Ownership,Simulated ROI
36883422,36883549,36883418,36883398,36883376,36883520,36883537,36883368,265.51,246.7095,266.7095,287.4595,298.4595,316.9595,340.217,303.37,35.91245414,0.462366663
36883378,36883363,36883520,36883537,36883376,36883549,36883368,36883361,264.65,246.8629,265.8629,286.6129,297.6129,316.6129,340.8629,291.82,34.38780753,0.44335982
36883335,36883429,36883520,36883418,36883412,36883378,36883368,36883376,264.79,247.4207,267.4207,286.6707,297.4207,315.1707,335.1782,276.45,29.2714507,0.447236866
36883378,36883402,36883520,36883418,36883398,36883549,36883368,36883376,270.51,252.0989,271.5364,292.1614,302.4114,320.9239,343.1664,325.12,38.99599066,0.565383038
36883378,36883402,36883543,36883418,36883376,36883515,36883368,36883520,268.1,249.6751,270.4251,290.4251,300.9251,317.9251,338.6876,312.02,36.94772234,0.5102432
36883378,36883510,36883520,36883418,36883359,36883549,36883543,36883376,264.98,246.5235,267.086,288.086,298.836,317.336,340.841,308.4,36.63914101,0.448711403
36883520,36883510,36883543,36883389,36883376,36883378,36883368,36883359,263.98,245.7697,265.7697,286.7697,296.5197,313.5322,335.0247,293.86,34.93406288,0.437636239
36883378,36883549,36883506,36883418,36883357,36883520,36883412,36883376,266.97,249.2381,268.7381,289.4881,300.2756,317.2381,338.4881,307.67,36.24157772,0.486673596
36883422,36883549,36883520,36883398,36883376,36883335,36883418,36883359,263.18,244.3063,263.0563,284.3063,295.5563,313.0813,334.0588,287.2,33.36788364,0.417411942
36883520,36883549,36883537,36883398,36883376,36883378,36883368,36883361,266.11,247.8594,268.1719,287.1719,298.6719,317.6719,338.4244,300.97,35.74493618,0.477252437
36883378,36883402,36883520,36883389,36883376,36883363,36883368,36883361,265.27,246.3559,266.1059,285.3559,297.1059,314.1184,334.1059,291.33,34.52264725,0.455431905
36883378,36883402,36883537,36883418,36883357,36883520,36883412,36883376,265.59,248.8325,268.4575,287.8325,298.3325,316.595,338.335,290.76,33.56895298,0.460919502
36883520,36883549,36883506,36883537,36883357,36883378,36883398,36883361,263.86,245.731,265.981,285.731,296.481,314.731,336.241,296.06,35.23937127,0.43343869
36883378,36883402,36883506,36883368,36883361,36883520,36883389,36883359,266.35,248.1386,267.3886,287.2011,298.1386,316.6386,337.1386,299.12,35.72816156,0.473034415
36883335,36883549,36883520,36883398,36883361,36883378,36883389,36883368,265.14,247.3641,265.4891,286.6766,296.8641,315.6266,336.3641,295.51,34.49485901,0.455331307
36883515,36883341,36883418,36883398,36883361,36883520,36883389,36883359,263.7,244.6725,264.4225,284.6725,295.4225,313.9225,334.9225,276.56,30.72444867,0.42469395
36883378,36883341,36883520,36883398,36883359,36883335,36883368,36883376,264.57,246.2522,265.2522,286.0022,296.0022,312.7522,334.5022,270.85,29.40463266,0.445728797
36883378,36883460,36883418,36883398,36883376,36883520,36883368,36883412,267.53,249.3108,269.0608,289.0608,299.3108,317.5608,338.0633,293.86,31.85282826,0.498368036
36883378,36883510,36883506,36883398,36883357,36883520,36883412,36883376,263.87,247.0735,265.1985,284.8235,294.8235,312.836,332.5735,288.21,34.04847398,0.435831278
36883520,36883402,36883418,36883398,36883361,36883515,36883368,36883506,266.58,247.2508,267.5008,286.7508,297.0008,315.0008,339.7583,308.2,36.87218995,0.479312089
36883515,36883402,36883520,36883389,36883357,36883378,36883398,36883376,265.57,247.9415,266.1915,284.9415,296.1915,313.4415,335.944,290.68,34.66039891,0.461889676
36883520,36883429,36883506,36883412,36883361,36883378,36883398,36883357,262.38,244.4987,263.7487,282.7487,293.4987,311.5112,329.7512,270.59,29.82192847,0.409128111
36883378,36883402,36883520,36883368,36883357,36883335,36883543,36883376,261.6,243.6064,263.9189,282.9189,292.7064,310.1689,329.1739,282.36,32.63851307,0.394874674
36883378,36883549,36883520,36883389,36883361,36883515,36883510,36883376,263.95,245.0172,265.5172,285.5172,296.0547,315.5297,336.7722,290.77,34.73121484,0.424315678
36883520,36883510,36883506,36883368,36883398,36883515,36883418,36883389,264.61,245.3284,265.3284,285.5784,295.5784,314.3284,336.0859,308.23,36.89727175,0.443841828
